id,name,price,description,barcode,url,picture
10669,"SHANDA SD-2200 Помпа для аквариума до 200л, подъем воды до 1,2м, 1400л/ч, 8вт",1290,"Погружная помпа для циркуляции воды в аквариуме.

Высота подъема воды до 1.2м

Максимальная производительность 1400л/ч

Для аквариума до 200л

Пиковая выходная мощность 8Вт

Крепится на присоски к стенкам аквариума",9555671409733,https://axolotl.ru/catalog/akvariumnoe_oborudovanie/pompy/shanda_sd_2200_pompa_dlya_akvariuma_do_200l_podem_vody_do_1_2m_1400l_ch_8vt/,https://axolotl.ru/upload/iblock/ee9/hd3kohb40ecdo74rnfxw3gvb1filyppw/%D1%87%2C%208%D0%B2%D1%82.png
10670,"SHANDA SD-1100 Помпа для аквариума до 100л, подъем воды до 1м, 1000л/ч, 6вт",1090,"Погружная помпа для циркуляции воды в аквариуме.

Высота подъема воды до 1м

Максимальная производительность 1000л/ч

Для аквариума до 100л

Пиковая выходная мощность 6Вт

Крепится на присоски к стенкам аквариума",9555671409726,https://axolotl.ru/catalog/akvariumnoe_oborudovanie/pompy/shanda_sd_1100_pompa_dlya_akvariuma_do_100l_podem_vody_do_1m_1000l_ch_6vt_/,https://axolotl.ru/upload/iblock/5c5/xugms9fy843yla5nnghn9ly1rmvou8zz/%D1%87%2C%206%D0%B2%D1%82.png
10672,"SHANDA SDF-320 Внутренний фильтр для аквариума до 50л, MAX 500л/ч, 2.5вт",790,"Компактный фильтр для аквариума с насадкой дождиком и шлангом для аэрации аквариума.

Предназначен для аквариумов до 50л.

Максимальная производительность 500л/ч.

Максимальная выходная мощность 2.5вт.

В корпусе фильтра имеется губка для фильтрации механического мусора.",9555671409184,https://axolotl.ru/catalog/akvariumnoe_oborudovanie/vnutrennie_filtry/shanda_sdf_320_vnutrenniy_filtr_dlya_akvariuma_do_50l_max_500l_ch_2_5vt/,https://axolotl.ru/upload/iblock/3a5/0f6d9nkngzcr5a1pof5kvy04mp58rhds/%D1%87%2C%202.5%D0%B2%D1%82.png
10682,"SHANDA SDA-9901 Компрессор аквариумный, до 100л (180л/ч) 2.5Вт",890,"Компрессоры SHANDA SDA-9901 очень тихие и надежные. 

крайне низкий уровень шума благодаря шумопонижающим камерам 

инновационный дизайн, уплотненные стенки корпуса, снижающие вибрацию резиновые опоры 

высокий уровень качества и надежности 

равномерная подача воздуха за счет мощной и долговечной мембраны 

регулятор потока встроен в корпус

высокий уровень удобства в обслуживании",9555671409368,https://axolotl.ru/catalog/akvariumnoe_oborudovanie/kompressory_i_sredstva_aeratsii/shanda_sda_9901_kompressor_akvariumnyy_do_100l_180l_ch_2_5vt/,https://axolotl.ru/upload/iblock/9f0/g2ix0jlna0dwoda75erf4ww82clpt6iz/%D1%87%29%202.5%D0%92%D1%82.png
10683,"SHANDA SDA-9902 Компрессор двухканальный аквариумный, регулируемый, до 200л, 360л/ч (2*180/час) 5Вт",1450,"Компрессоры SHANDA SDA-9902 очень тихие и надежные. 

крайне низкий уровень шума благодаря шумопонижающим камерам 

инновационный дизайн, уплотненные стенки корпуса, снижающие вибрацию резиновые опоры 

высокий уровень качества и надежности 

равномерная подача воздуха за счет мощной и долговечной мембраны 

регулятор потока встроен в корпус

высокий уровень удобства в обслуживании",9555671409375,https://axolotl.ru/catalog/akvariumnoe_oborudovanie/kompressory_i_sredstva_aeratsii/shanda_sda_9902_kompressor_dvukhkanalnyy_akvariumnyy_reguliruemyy_do_200l_360l_ch_2_180_chas_5vt/,https://axolotl.ru/upload/iblock/28b/vglq73d91pdm8iygqhsmss8bo1dxjyn3/%D1%87%D0%B0%D1%81%29%205%D0%92%D1%82.png
10685,"SHANDA SDA-9903 Компрессор двухканальный аквариумный, регулируемый, до 400л, 410л/ч (2*210л/час) 8Вт",1850,"Компрессоры SHANDA SDA-9903 очень тихие и надежные. 

крайне низкий уровень шума благодаря шумопонижающим камерам 

инновационный дизайн, уплотненные стенки корпуса, снижающие вибрацию резиновые опоры 

высокий уровень качества и надежности 

равномерная подача воздуха за счет мощной и долговечной мембраны 

регулятор потока встроен в корпус

высокий уровень удобства в обслуживании",9555671409382,https://axolotl.ru/catalog/akvariumnoe_oborudovanie/kompressory_i_sredstva_aeratsii/shanda_sda_9903_kompressor_dvukhkanalnyy_akvariumnyy_reguliruemyy_do_400l_410l_ch_2_210l_chas_8vt/,https://axolotl.ru/upload/iblock/bfa/fzqrb5m1mo2wt4oz7jb7g3abqogytwxl/%D1%87%D0%B0%D1%81%29%208%D0%92%D1%82.png
10687,SHANDA SD-2000 Аквариумный двухканальный компрессор до 200л (2*240л/час) 5Вт,600,"Воздушный компрессор для подачи воздуха в аквариум до 200 литров.

Компрессоры серии SD от фирмы SHANDA зарекомендовали себя как надежные и тихие помощники для аквариумистов со всего мира.

Низкая цена, компактный размер, долгий срок службы и экономичное энергопотребление.

Максимальная выходная мощность 480л/ч (2*240л/ч).

Выходная пиковая мощность 5Вт.

Без регулировки.

Двухканальный",9555671409580,https://axolotl.ru/catalog/akvariumnoe_oborudovanie/kompressory_i_sredstva_aeratsii/shanda_sd_2000_akvariumnyy_dvukhkanalnyy_kompressor_do_200l_2_240l_chas_5vt/,https://axolotl.ru/upload/iblock/efd/plow4jqciph3zdzhg9nigjx4nunwnuo2/%D1%87%D0%B0%D1%81%29%205%D0%92%D1%82.jpeg
10688,"SHANDA SDA-9904 Компрессор двухканальный аквариумный, регулируемый, до 600л, 480л/ч (2*240л/ч) 10Вт",2371,"Компрессоры SHANDA SDA-9904 очень тихие и надежные. 

крайне низкий уровень шума благодаря шумопонижающим камерам 

инновационный дизайн, уплотненные стенки корпуса, снижающие вибрацию резиновые опоры 

высокий уровень качества и надежности 

равномерная подача воздуха за счет мощной и долговечной мембраны 

регулятор потока встроен в корпус

высокий уровень удобства в обслуживании",9555671409399,https://axolotl.ru/catalog/akvariumnoe_oborudovanie/kompressory_i_sredstva_aeratsii/shanda_sda_9904_kompressor_dvukhkanalnyy_akvariumnyy_reguliruemyy_do_600l_480l_ch_2_240l_ch_10vt/,https://axolotl.ru/upload/iblock/b72/hwgcknqwvzaijp9mcn2mpsyrgeu28dim/%D1%87%29%2010%D0%92%D1%82.png
10695,"SHANDA SC-M Магнитный скребок для чистки аквариума, с ручкой, M (до 6 мм)",1092,"Магнитный очиститель для аквариума. 
Мощный магнит - до 10 лет без размагничивания.
Удобная ручка, магнит не выскользнет из рук во время чистки.
Магнитная часть не тонет, в случае отмагничивания она будет плавать.
Поверхность из материала, который не царапает стекло, при этом хорошо очищает налет и водоросли.",9555681409068,https://axolotl.ru/catalog/aksessuary_dlya_obsluzhivaniya_i_ukhoda/skrebki_magnity_i_ershiki/shanda_sc_m_magnitnyy_skrebok_dlya_chistki_akvariuma_s_ruchkoy_m_do_6_mm/,https://axolotl.ru/upload/iblock/4d3/k9x6kdwahtbrd3z7dapqh1mozb8r3okk/SHANDA%20SC-M%20%D0%9C%D0%B0%D0%B3%D0%BD%D0%B8%D1%82%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BA%D1%80%D0%B5%D0%B1%D0%BE%D0%BA%20%D0%B4%D0%BB%D1%8F%20%D1%87%D0%B8%D1%81%D1%82%D0%BA%D0%B8%20%D0%B0%D0%BA%D0%B2%D0%B0%D1%80%D0%B8%D1%83%D0%BC%D0%B0%2C%20%D1%81%20%D1%80%D1%83%D1%87%D0%BA%D0%BE%D0%B9%2C%20M%20%28%D0%B4%D0%BE%206%20%D0%BC%D0%BC%29.png
10727,"SHANDA SDF-350 Внутренний фильтр для аквариума до 160л, MAX 1000л/ч, 5вт",1320,"Компактный фильтр для аквариума с насадкой дождиком и шлангом для аэрации аквариума.

Предназначен для аквариумов до 160л.

Максимальная производительность 1000л/ч.

Максимальная выходная мощность 5вт.

В корпусе фильтра имеется губка для фильтрации механического мусора.",9555671409214,https://axolotl.ru/catalog/akvariumnoe_oborudovanie/vnutrennie_filtry/shanda_sdf_350_vnutrenniy_filtr_dlya_akvariuma_do_160l_max_1000l_ch_5vt/,https://axolotl.ru/upload/iblock/f9b/yxbi4c6hli59mn83qmwd6thtzofcjxw9/%D1%87%2C%205%D0%B2%D1%82.png
